energy_loss_eV,intensity_counts
200.0,5498.45505046358
200.5,5467.815231881353
201.0,5441.109083126864
201.5,5456.33058685779
202.0,5407.236560873458
202.5,5397.493719218024
203.0,5370.672416484991
203.5,5340.583970331441
204.0,5340.939458592295
204.5,5311.773837499688
205.0,5258.686416808776
205.5,5287.168071804954
206.0,5249.593942313084
206.5,5233.816880586241
207.0,5249.028809774401
207.5,5211.715391942267
208.0,5175.426416054035
208.5,5143.338790807038
209.0,5155.739636145625
209.5,5109.25479987417
210.0,5125.5850307191495
210.5,5070.191514137199
211.0,5039.59088720248
211.5,5054.944893973087
212.0,5059.569561426514
212.5,4992.219649806262
213.0,5004.960904642977
213.5,4986.7299784508095
214.0,4950.5876406675925
214.5,4919.529107268876
215.0,4933.543749761429
215.5,4869.760744299378
216.0,4900.131819046408
216.5,4848.392730370478
217.0,4852.699093145514
217.5,4820.742227789276
218.0,4845.366969984556
218.5,4796.228198268698
219.0,4745.7345713376535
219.5,4771.602188800459
220.0,4761.532472139431
220.5,4739.7325455364
221.0,4678.814125906931
221.5,4663.96216036813
222.0,4666.827577679204
222.5,4651.627964826205
223.0,4642.386160794805
223.5,4645.276534452009
224.0,4618.141159001252
224.5,4584.599864636685
225.0,4599.831200748328
225.5,4566.826420258725
226.0,4559.420839840868
226.5,4546.508967631585
227.0,4508.046278544141
227.5,4502.140930110842
228.0,4450.098088463531
228.5,4472.786559296625
229.0,4465.600194993017
229.5,4446.760598208948
230.0,4426.435768106962
230.5,4424.604919013532
231.0,4419.966658592575
231.5,4417.103914675312
232.0,4347.022452917193
232.5,4370.517923814064
233.0,4328.915491827126
233.5,4321.766720121651
234.0,4318.763370835651
234.5,4288.389594624352
235.0,4278.710087344733
235.5,4267.199246838287
236.0,4276.2533567583605
236.5,4294.383097664391
237.0,4217.005324580136
237.5,4248.267501001998
238.0,4194.94888254607
238.5,4206.114044825654
239.0,4154.167230517543
239.5,4150.964255634429
240.0,4169.645196555786
240.5,4165.634189436933
241.0,4107.591127645875
241.5,4092.55591876865
242.0,4063.632059740503
242.5,4070.540426755167
243.0,4061.6668268462354
243.5,4052.7720694040004
244.0,4030.946757833282
244.5,4016.2563510066047
245.0,4016.782316321684
245.5,3994.8785679927796
246.0,3998.883847956619
246.5,4008.2378742729416
247.0,3986.9737924033366
247.5,3968.579879921999
248.0,3948.8891739452574
248.5,3919.305682851065
249.0,3902.7763568265214
249.5,3913.5084916256383
250.0,3861.451773317665
250.5,3869.4449184453774
251.0,3856.6140749143465
251.5,3887.3731881043213
252.0,3860.55205335364
252.5,3824.752130607019
253.0,3818.606358590717
253.5,3801.823796902171
254.0,3783.509620865233
254.5,3799.986054602154
255.0,3786.6555845211087
255.5,3771.718755124602
256.0,3745.3466613013566
256.5,3682.5720603475334
257.0,3760.6328290007505
257.5,3740.696932528751
258.0,3700.520132848089
258.5,3686.0236595319952
259.0,3684.781490719721
259.5,3652.472954346545
260.0,3691.105555988471
260.5,3643.5883409773314
261.0,3641.140059846248
261.5,3628.8230708037213
262.0,3617.7901702254
262.5,3632.0328428312014
263.0,3571.746731756597
263.5,3588.5726336117664
264.0,3537.2457369756867
264.5,3579.251045088353
265.0,3545.050945368908
265.5,3539.3047671603454
266.0,3536.034428766642
266.5,3499.7866102981684
267.0,3505.68434773879
267.5,3479.2410581776435
268.0,3496.7709737024898
268.5,3486.4221317016413
269.0,3458.262522667322
269.5,3539.0762811352947
270.0,3471.9513431331347
270.5,3461.141274489947
271.0,3456.687180455881
271.5,3441.8600851321908
272.0,3444.693742308854
272.5,3417.063451333108
273.0,3389.140721256696
273.5,3382.3854496966806
274.0,3380.9966792754385
274.5,3388.07337295529
275.0,3336.632705283291
275.5,3355.385091479097
276.0,3332.826885727933
276.5,3321.513931477356
277.0,3304.204609139812
277.5,3304.178555438004
278.0,3295.1846682500486
278.5,3314.73003400755
279.0,3256.826889995087
279.5,3278.807416817168
280.0,3275.752649047549
280.5,3289.881734031209
281.0,3303.440778182072
281.5,3276.3045332686133
282.0,3289.8718897987633
282.5,3333.9970589919444
283.0,3343.3338229200253
283.5,3358.259042803563
284.0,3380.840129887509
284.5,3411.057415212143
285.0,3523.109868003082
285.5,3564.0258795874975
286.0,3678.9077993003475
286.5,3767.861916511043
287.0,3772.1183991589223
287.5,3893.966424041977
288.0,3967.7366740151697
288.5,4043.6889462520385
289.0,4158.455772956661
289.5,4182.452943917677
290.0,4236.790839220021
290.5,4331.585137760463
291.0,4330.466126405804
291.5,4362.166143399288
292.0,4406.322853636357
292.5,4395.922076475446
293.0,4407.788059355107
293.5,4371.084666827883
294.0,4346.702921048463
294.5,4331.756529755479
295.0,4307.577879171533
295.5,4200.280074295635
296.0,4173.739619124955
296.5,4142.170404543538
297.0,4108.061180640647
297.5,4034.7574706467867
298.0,4001.2232174469536
298.5,3910.0721191900116
299.0,3856.181680392845
299.5,3882.685000292384
300.0,3833.1453055410525
300.5,3810.487793240686
301.0,3781.0717741875014
301.5,3759.569074262634
302.0,3709.0253395815535
302.5,3725.649250983505
303.0,3740.5316908409804
303.5,3720.3188949319137
304.0,3690.6453563525642
304.5,3671.599810159863
305.0,3697.0217469820636
305.5,3694.635503782642
306.0,3726.4345853758455
306.5,3683.272757322328
307.0,3699.100594970376
307.5,3710.2429729330916
308.0,3706.631648800868
308.5,3711.7324638953755
309.0,3699.1473617311467
309.5,3681.439656806868
310.0,3720.8649854681776
310.5,3748.544302990494
311.0,3720.093902267615
311.5,3709.2155155071164
312.0,3728.2720861198604
312.5,3699.0390814177017
313.0,3704.6900311971763
313.5,3716.5638892115326
314.0,3714.4716292053513
314.5,3715.136487591073
315.0,3710.638105364655
315.5,3704.9324406801406
316.0,3693.8723456466723
316.5,3725.386316075527
317.0,3702.546556845481
317.5,3701.156244846664
318.0,3708.1002249594876
318.5,3716.886775719529
319.0,3688.6601633991068
319.5,3700.489322012347
320.0,3702.7611796194633
320.5,3692.100940425541
321.0,3687.2949985439936
321.5,3700.5273835858743
322.0,3678.028925739008
322.5,3711.6137193959535
323.0,3693.4265447033595
323.5,3656.0495671091417
324.0,3640.743891998352
324.5,3666.555200141763
325.0,3651.1014438418097
325.5,3668.700426836041
326.0,3698.194356154023
326.5,3654.6291564528306
327.0,3678.2044975105355
327.5,3622.963504043429
328.0,3669.252058343365
328.5,3639.929795572616
329.0,3667.7656899728076
329.5,3634.456700831358
330.0,3620.8958290699456
330.5,3660.8176105612242
331.0,3625.33882653099
331.5,3648.726424534114
332.0,3563.09184304322
332.5,3614.194691500431
333.0,3615.6983397773106
333.5,3600.4308963987255
334.0,3619.111375929321
334.5,3578.4354910421093
335.0,3598.9538619879227
335.5,3614.972509695181
336.0,3616.6660993074024
336.5,3604.963898907863
337.0,3602.1873280052773
337.5,3584.6667378106667
338.0,3576.683911570851
338.5,3565.2444537809665
339.0,3574.0927348652926
339.5,3597.3029586137573
340.0,3548.5159772849224
340.5,3598.0732258823264
341.0,3555.945261076709
341.5,3578.2377173870445
342.0,3522.539751081997
342.5,3543.720225765116
343.0,3510.2644906877777
343.5,3538.2852322504264
344.0,3536.246839014913
344.5,3526.576559749742
345.0,3509.766942742384
345.5,3533.675717620392
346.0,3487.83633164103
346.5,3504.4175992733904
347.0,3500.520652151868
347.5,3503.566945642679
348.0,3500.1641252397535
348.5,3506.9706905140756
349.0,3488.148566064841
349.5,3487.271613800382
350.0,3497.0573464440336
350.5,3467.297613082286
351.0,3497.4609539584385
351.5,3487.539766531438
352.0,3511.5414654911747
352.5,3446.4983474442242
353.0,3446.1275672513298
353.5,3432.856590739829
354.0,3418.3422910449817
354.5,3444.697067806532
355.0,3428.2276927034845
355.5,3405.093600897107
356.0,3431.195727813761
356.5,3426.07414660307
357.0,3420.0691328094576
357.5,3427.259310536103
358.0,3428.0570834315704
358.5,3419.7511896982232
359.0,3404.4841112593876
359.5,3373.7975056901437
360.0,3384.9657469865733
360.5,3387.760191355065
361.0,3360.3271915235814
361.5,3419.426298756061
362.0,3352.3781444758074
362.5,3381.953986523505
363.0,3384.907719308877
363.5,3358.9545970881622
364.0,3409.4481865353614
